class_label,condition,channel,band,mean_abs_shap,mean_signed_shap,n_subjects
0,JOY,CP1,Gamma,0.0027880511717705515,0.0023390552659753733,23
0,JOY,C1,Delta,0.0018681420689916016,0.0013077532307015224,23
0,JOY,C1,Theta,0.0,0.0,23
0,JOY,C1,Alpha,0.007970648129531183,0.0020989856548374887,23
0,JOY,C1,Beta,0.0003766180097990058,0.00011731370438084115,23
0,JOY,C1,Gamma,0.0,0.0,23
0,JOY,C2,Delta,0.0005891115423583314,0.00042969563893911316,23
0,JOY,C2,Theta,0.006944552584715042,0.006643889934687911,23
0,JOY,C2,Alpha,0.0060860770292301015,0.005869012333924167,23
0,JOY,C2,Beta,0.007929662586845859,0.00749556660612633,23
0,JOY,C2,Gamma,0.0,0.0,23
0,JOY,FC2,Delta,0.01179023380793859,0.006887513922064089,23
0,JOY,FC2,Theta,4.0779621244783356e-05,3.466076019063884e-05,23
0,JOY,FC2,Alpha,0.00019133632203534475,0.0001701385475635397,23
0,JOY,FC2,Beta,0.0008872589549944075,0.0007193427478838596,23
0,JOY,FC2,Gamma,0.0,0.0,23
0,JOY,FC6,Delta,0.006552698264364188,0.0034082733163495562,23
0,JOY,FC6,Theta,0.00217635145582644,0.0020080066329717567,23
0,JOY,FC6,Alpha,0.00419605484289977,0.0015434329918235872,23
0,JOY,FC6,Beta,0.00856074838269165,0.006388417343935178,23
0,JOY,FC6,Gamma,0.01602229884327019,0.012705893812206812,23
0,JOY,C5,Delta,0.009524856786726906,0.00584505237410362,23
0,JOY,C5,Theta,0.0057245868462099505,0.0031714222541477668,23
0,JOY,C5,Alpha,0.0,0.0,23
0,JOY,C5,Beta,0.0,0.0,23
0,JOY,C5,Gamma,0.01863833412557448,0.014075229568027458,23
0,JOY,FC1,Delta,0.001261833091150706,0.001132271659588429,23
0,JOY,FC1,Theta,0.026353852195405984,0.022749684710643002,23
0,JOY,FC1,Alpha,0.019301555163526253,0.015595254630631543,23
0,JOY,FC1,Beta,0.04292252325284343,0.031173388926510497,23
0,JOY,FC1,Gamma,0.016716016604299663,0.0130370063618177,23
0,JOY,F2,Delta,0.005270524054381906,0.004327889162356533,23
0,JOY,F2,Theta,0.004482632077590255,0.004380904578572698,23
0,JOY,F2,Alpha,4.170583979666755e-05,4.072970695592975e-05,23
0,JOY,F2,Beta,0.009759105634044956,0.008718913421393939,23
0,JOY,F2,Gamma,0.009931161150032916,0.008760620508822729,23
0,JOY,F6,Delta,0.01485990199619543,0.008531580130720659,23
