class_label,condition,feature_idx,feature_name,feature_type,channel,band,pair,cluster,mean_abs_shap,std_abs_shap,mean_signed_shap,std_signed_shap,n_subjects
0,JOY,16,TP8_Alpha,bandpower,TP8,Alpha,,temporal_right,0.020720446987545306,0.08924895036369307,0.01892126793356807,0.0883133508634914,23
0,JOY,17,TP8_Beta,bandpower,TP8,Beta,,temporal_right,0.02091257747711134,0.05624639727449612,0.016339313602185053,0.043706197817894095,23
0,JOY,18,T8_Alpha,bandpower,T8,Alpha,,temporal_right,0.0067969321628832645,0.015181373761113524,0.005536526732743642,0.013236719046094782,23
0,JOY,19,T8_Beta,bandpower,T8,Beta,,temporal_right,0.05554658689604924,0.16012912688461273,0.05353459993086041,0.1597173143401924,23
0,JOY,20,P7_Alpha,bandpower,P7,Alpha,,temporal_left,0.004509333243564299,0.020936856296332112,0.0013974329521080986,0.006152089734822428,23
0,JOY,21,P7_Beta,bandpower,P7,Beta,,temporal_left,0.061099674561899346,0.14887581399199967,0.03034363080207745,0.08664792199321224,23
0,JOY,22,P3_Alpha,bandpower,P3,Alpha,,centro_parietal_left,0.001708064581673384,0.007972071109465602,0.0007943277446434516,0.003909803456321881,23
0,JOY,23,P3_Beta,bandpower,P3,Beta,,centro_parietal_left,0.019659332672395374,0.048434045319125645,0.012387833679201377,0.03090610581505451,23
0,JOY,24,CP3_Alpha,bandpower,CP3,Alpha,,temporal_left,0.0019101545339647154,0.009160779328386699,0.0016644124861341415,0.00798224186879741,23
0,JOY,25,CP3_Beta,bandpower,CP3,Beta,,temporal_left,0.012545293494014297,0.045629514353964284,0.010130187187094691,0.04273050531195684,23
0,JOY,26,CPz_Alpha,bandpower,CPz,Alpha,,parietal_midline,0.018267200701679913,0.06321120581162344,0.005495607340067143,0.02903333183400934,23
0,JOY,27,CPz_Beta,bandpower,CPz,Beta,,parietal_midline,0.024075862768305707,0.05091249306420675,0.010840126234172513,0.03184754055764512,23
0,JOY,28,Cz_Alpha,bandpower,Cz,Alpha,,parietal_midline,0.006469271397749767,0.016636052930717616,-0.0023816779284824363,0.011498519160774243,23
0,JOY,29,Cz_Beta,bandpower,Cz,Beta,,parietal_midline,0.036548914373706616,0.07075672973313347,0.015515024554278167,0.042674589224517036,23
0,JOY,30,FC4_Alpha,bandpower,FC4,Alpha,,frontal_bilateral,0.04951092904288061,0.13248733907842944,0.04642584051403229,0.13179288597854683,23
0,JOY,31,FC4_Beta,bandpower,FC4,Beta,,frontal_bilateral,0.112530098485442,0.20143843342704773,0.09431168045436739,0.20132404123868178,23
0,JOY,32,FT8_Alpha,bandpower,FT8,Alpha,,temporal_right,0.010374954843891903,0.03305583455154174,0.00520880584079352,0.024841272180102462,23
0,JOY,33,FT8_Beta,bandpower,FT8,Beta,,temporal_right,0.012387522377914151,0.05323660836142697,0.00998795946066505,0.04462167213054135,23
0,JOY,34,TP7_Alpha,bandpower,TP7,Alpha,,temporal_left,0.004224899436467716,0.015105714602364808,0.0033329168425082194,0.013762804649436305,23
0,JOY,35,TP7_Beta,bandpower,TP7,Beta,,temporal_left,0.01076819978713895,0.03488395163674309,0.008381447957199651,0.02944410491121484,23
0,JOY,36,C3_Alpha,bandpower,C3,Alpha,,centro_parietal_left,0.015302356766547015,0.04393448493753198,0.006611136335940982,0.030344123942775587,23
0,JOY,37,C3_Beta,bandpower,C3,Beta,,centro_parietal_left,0.014104113027606146,0.030424209706881436,0.0016010065571713094,0.014059595815511965,23
0,JOY,38,FCz_Alpha,bandpower,FCz,Alpha,,frontal_bilateral,0.00963131565546666,0.024791030110684883,0.006988120780480491,0.020609810495742193,23
0,JOY,39,FCz_Beta,bandpower,FCz,Beta,,frontal_bilateral,0.011032480877097392,0.02478425100424149,0.0028647582435499504,0.020188772427388556,23
0,JOY,40,Fz_Alpha,bandpower,Fz,Alpha,,frontal_bilateral,0.010022158967349936,0.03550828488025111,0.007957339133846114,0.02844694716150399,23
0,JOY,41,Fz_Beta,bandpower,Fz,Beta,,frontal_bilateral,0.011080358872518811,0.037001978654587965,0.004657073696768782,0.012292148060345138,23
0,JOY,42,F4_Alpha,bandpower,F4,Alpha,,frontal_bilateral,0.010071873257095692,0.038051127756303905,0.005517254764776026,0.024870368931694427,23
0,JOY,43,F4_Beta,bandpower,F4,Beta,,frontal_bilateral,0.029200997313988557,0.05793151412693088,0.022430053121952835,0.04669476962371789,23
0,JOY,44,F8_Alpha,bandpower,F8,Alpha,,other,0.006601991765318847,0.021811828567449898,0.0007140267631258791,0.012265066348553563,23
0,JOY,45,F8_Beta,bandpower,F8,Beta,,other,0.009086176843023276,0.025279019962617232,0.006158318920614583,0.018383268102577746,23
0,JOY,46,T7_Alpha,bandpower,T7,Alpha,,temporal_left,0.01707260556582916,0.04381632481198474,0.008927454438532116,0.04063187063676034,23
0,JOY,47,T7_Beta,bandpower,T7,Beta,,temporal_left,0.0426613495629505,0.0738559170874126,0.03528290367464906,0.07101171076014796,23
