class_label,condition,channel,band,cluster,mean_abs_shap,mean_signed_shap,n_subjects
2,SAD,POz,Beta,occipital,0.045456259745315586,0.029650997150214492,23
2,SAD,P2,Alpha,other,0.010605758363262902,0.00943198688141829,23
2,SAD,P2,Beta,other,0.008445991827899717,0.0051000272451904,23
2,SAD,PO4,Alpha,occipital,0.009084832695321775,0.007351144473300847,23
2,SAD,PO4,Beta,occipital,0.023944383530890862,0.002458531734324192,23
2,SAD,CP2,Alpha,other,0.018656609768182487,0.006939418548415085,23
2,SAD,CP2,Beta,other,0.08339313087158796,0.061323993270936426,23
2,SAD,P6,Alpha,temporal_right,0.00787592694610101,0.0024354944264033435,23
2,SAD,P6,Beta,temporal_right,0.004352084499341528,0.0011603638407082018,23
2,SAD,PO6,Alpha,other,0.0014833458243742308,0.0003194400243307392,23
2,SAD,PO6,Beta,other,0.011602823922718294,0.010158465279207796,23
2,SAD,CP6,Alpha,temporal_right,0.02765034218926326,-0.007972085361748468,23
2,SAD,CP6,Beta,temporal_right,0.04817008921869825,0.01469310380048818,23
2,SAD,C6,Alpha,temporal_right,0.017035552256264585,0.010979035766679955,23
2,SAD,C6,Beta,temporal_right,0.11878823928409946,0.10363633025270513,23
2,SAD,PO8,Alpha,occipital,0.018281622068609178,0.01290452190961634,23
